gameId,f0_,f1_,f2_,f3_,f4_,f5_,f6_,f7_
6dc681ea-0abc-457d-8b0a-a7c0daae412e,Rockies,11,14,3,Pirates,5,7,0
f9d54bbf-7fa6-4665-b850-5f59f6f1a474,Rays,8,8,0,Rangers,4,7,1
1ec06d4d-93f2-4a73-8bda-d3a1e875cbe0,Giants,7,16,2,Rockies,17,17,0
04e34b05-d2c5-47f8-9a4b-4b0855668c3e,Nationals,2,7,1,Marlins,1,4,0
450f94fd-6e2a-4b49-8247-c36214987ca2,Nationals,1,8,0,Pirates,2,12,0
7c5f774b-f44d-4dca-8ad4-9d5936c454e7,Nationals,10,12,0,Cardinals,2,9,0
5bbbd0ec-a8be-4d9d-ace3-816ee352744c,Orioles,5,9,1,Rays,4,10,2
873af90e-d93f-4195-ab6c-8855abd81570,Orioles,2,8,0,Rays,1,6,1
bddd838d-8297-413d-b656-70c995792730,Orioles,2,8,0,Yankees,0,4,1
4c9c728d-26eb-4526-8253-9cdb785dba77,Blue Jays,3,6,1,Rays,2,4,0
3e25e986-46d1-4af9-9b9c-1a8d8b8b802a,Cardinals,2,10,3,Royals,3,14,0
ac094965-0aeb-414f-862b-a40c4e099cce,Royals,3,7,1,Athletics,16,17,0
76728b44-f34f-4c0b-ade7-b98e26871939,Royals,10,12,0,White Sox,3,11,1
c0a16323-7f9d-4a61-a9f4-81d5c391febf,Royals,2,4,0,White Sox,1,7,1
7c9914e0-70be-45b6-9a3f-d509b65d668c,Mariners,5,9,0,Rays,2,4,1
f3655f56-4c29-4d8b-932c-7379c73f4417,Mariners,6,8,0,Rays,5,10,0
4ea303c3-331b-4800-84eb-bdbec947d6e2,Mariners,0,2,0,Angels,3,9,0
89fda312-79f4-455d-8d99-0dde5264caa5,Mariners,6,10,0,Angels,7,13,0
74e99b23-6e75-4c8a-82e2-466c95de9b3f,Mariners,11,13,1,Astros,1,3,1
822cfa5a-c351-4539-b2f7-7c32f2a55a0d,Mariners,8,8,1,Rangers,3,7,0
1c3f6de9-6dfe-41cf-9c3c-78b7a2c20e4d,Mariners,1,5,0,Athletics,6,11,0
