Month,Day,Team,Away_Win
4,3,Blue Jays,1
4,4,Blue Jays,1
4,4,Dodgers,1
4,4,Giants,1
4,4,Nationals,1
4,5,Astros,1
4,5,Cubs,1
4,5,Mets,1
4,5,Red Sox,1
4,5,Rockies,1
4,5,Tigers,1
4,5,White Sox,1
4,6,Cubs,1
4,6,Dodgers,1
4,6,Giants,1
4,6,Mariners,2
4,6,Nationals,1
4,6,Rockies,1
4,6,Tigers,1
4,6,White Sox,1
4,7,Dodgers,1
4,7,Marlins,1
4,7,White Sox,1
4,8,Cardinals,1
4,8,Cubs,1
4,8,Indians,1
4,8,Padres,1
4,8,Pirates,1
4,8,Red Sox,1
4,9,Astros,1
4,9,Athletics,1
4,9,Cardinals,1
4,9,Dodgers,1
4,9,Phillies,1
4,9,Rangers,1
4,9,Red Sox,1
4,9,Yankees,1
4,10,Athletics,2
4,10,Cardinals,1
4,10,Cubs,2
4,10,Padres,1
4,10,Phillies,1
4,10,Rangers,1
4,11,Marlins,1
4,11,Orioles,1
4,11,Padres,1
4,11,Pirates,1
4,11,White Sox,1
4,12,Angels,1
4,12,Diamondbacks,1
4,12,Marlins,1
4,12,Orioles,1
4,12,Rangers,1
4,12,Yankees,1
4,13,Angels,2
4,13,Giants,1
4,13,Indians,1
4,13,Rangers,1
4,13,Royals,1
4,13,Tigers,1
4,14,Brewers,1
4,14,Indians,1
4,14,Royals,1
4,14,Tigers,1
4,14,White Sox,2
4,15,Braves,1
4,15,Brewers,1
4,15,Mariners,1
4,15,Mets,1
4,15,Nationals,1
4,15,Rockies,1
4,15,Royals,1
4,15,White Sox,1
4,16,Braves,1
4,16,Diamondbacks,1
4,16,Mariners,1
4,16,Nationals,1
4,16,Orioles,1
4,16,Reds,1
4,16,Royals,1
4,16,Tigers,1
4,17,Blue Jays,1
4,17,Braves,1
4,17,Giants,1
4,17,Mets,1
4,17,Rockies,1
4,18,Blue Jays,1
4,18,Mets,1
4,18,Rockies,1
4,19,Angels,1
4,19,Athletics,1
4,19,Blue Jays,1
4,19,Brewers,1
4,19,Cubs,1
4,19,Diamondbacks,1
4,19,Mets,1
4,19,Nationals,1
4,19,Rays,1
4,20,Athletics,1
4,20,Cubs,1
4,20,Diamondbacks,1
4,20,Dodgers,1
4,20,Mariners,1
4,20,Nationals,1
4,20,Tigers,1
4,21,Angels,1
4,21,Athletics,1
4,21,Cubs,1
4,21,Diamondbacks,2
4,21,Dodgers,1
4,21,Mariners,1
4,21,Rays,1
4,21,Twins,1
4,22,Athletics,1
4,22,Cubs,1
4,22,Indians,1
4,22,Mets,1
4,22,Pirates,1
4,23,Indians,1
4,23,Mariners,1
4,23,Mets,1
4,23,Orioles,1
4,23,Phillies,2
4,23,Pirates,1
4,23,Red Sox,1
4,24,Cardinals,2
4,24,Cubs,1
4,24,Dodgers,2
4,24,Indians,1
4,24,Mariners,1
4,24,Marlins,1
4,24,Mets,1
4,24,Pirates,1
4,24,Rays,1
4,25,Red Sox,2
4,25,White Sox,1
4,26,Athletics,1
4,26,Marlins,1
4,26,Phillies,1
4,26,Pirates,1
4,26,Red Sox,1
4,26,White Sox,1
4,26,Yankees,1
4,27,Cardinals,1
4,27,Marlins,1
4,27,Orioles,1
4,27,Phillies,1
4,27,Pirates,1
4,27,White Sox,1
4,28,Astros,1
4,28,Braves,1
4,28,Cardinals,1
4,28,Indians,1
4,28,Marlins,1
4,28,Phillies,1
4,28,Pirates,1
4,29,Blue Jays,1
4,29,Marlins,1
4,30,Marlins,2
4,30,Nationals,2
4,30,Padres,1
4,30,Rockies,1
4,30,Tigers,2
4,30,White Sox,1
5,1,Angels,1
5,1,Astros,1
5,1,Blue Jays,1
5,1,Braves,1
5,1,Giants,1
5,1,Nationals,1
5,1,Padres,1
5,1,Reds,1
5,1,Rockies,2
5,1,Royals,1
5,1,Tigers,1
5,1,White Sox,1
5,2,Cubs,1
5,2,Giants,1
5,2,Rangers,1
5,3,Braves,1
5,3,Cubs,1
5,3,Dodgers,1
5,3,Giants,1
5,3,Mariners,1
5,3,Nationals,1
5,3,Twins,1
5,4,Angels,1
5,4,Cubs,1
5,4,Mariners,2
5,4,Nationals,1
5,4,Phillies,1
5,4,Rockies,1
5,4,Yankees,1
5,5,Red Sox,1
5,6,Diamondbacks,1
5,6,Mariners,1
5,6,Rangers,1
5,6,Red Sox,1
5,6,Rockies,1
5,7,Athletics,1
5,7,Brewers,1
5,7,Diamondbacks,1
5,7,Dodgers,1
5,7,Mariners,1
5,7,Phillies,1
5,7,Pirates,1
5,7,Rangers,1
5,7,Rays,1
5,7,Royals,1
5,8,Brewers,1
5,8,Diamondbacks,1
5,8,Dodgers,1
5,8,Mets,2
5,8,Phillies,1
5,8,Pirates,1
5,8,Rangers,1
5,8,Rays,2
5,8,Rockies,1
5,9,Red Sox,1
5,10,Blue Jays,1
5,10,Brewers,1
5,10,Diamondbacks,1
5,10,Mets,1
5,10,Phillies,1
5,10,Tigers,1
5,10,White Sox,1
5,11,Blue Jays,1
5,11,Cardinals,1
5,11,Diamondbacks,1
5,11,Indians,1
5,11,Orioles,2
5,11,Padres,1
5,11,Pirates,1
5,11,Royals,1
5,12,Cardinals,1
5,12,Mets,1
5,12,Padres,1
5,12,Phillies,1
5,13,Astros,1
5,13,Athletics,1
5,13,Cardinals,1
5,13,Giants,1
5,13,Padres,1
5,13,White Sox,1
5,14,Angels,1
5,14,Blue Jays,1
5,14,Braves,1
5,14,Giants,1
5,14,Marlins,1
5,14,Padres,1
5,14,Twins,1
5,15,Angels,2
5,15,Athletics,1
5,15,Giants,2
5,15,Marlins,1
5,15,Pirates,1
5,15,Reds,1
5,15,Tigers,1
5,15,Twins,1
5,16,Cardinals,1
5,16,Marlins,1
5,16,Rays,1
5,17,Angels,1
5,17,Mariners,1
5,17,Rays,1
5,18,Astros,1
5,18,Braves,1
5,18,Giants,1
5,18,Indians,1
5,18,Nationals,1
5,18,Rays,1
5,18,Rockies,1
5,19,Astros,1
5,19,Cubs,1
5,19,Giants,1
5,19,Indians,1
5,19,Mariners,1
5,19,Nationals,1
5,19,Red Sox,1
5,19,Yankees,1
5,20,Blue Jays,1
5,20,Braves,1
5,20,Giants,1
5,20,Indians,1
5,20,Mariners,1
5,20,Nationals,1
5,20,Rays,1
5,20,Yankees,1
5,21,Blue Jays,1
5,21,Braves,1
5,21,Cubs,1
5,21,Diamondbacks,1
5,21,Mariners,1
5,21,Orioles,1
5,21,Rangers,2
5,21,Rockies,1
5,21,Royals,2
5,21,Yankees,2
5,22,Blue Jays,1
5,22,Diamondbacks,1
5,22,Dodgers,1
5,22,Mariners,1
5,22,Nationals,1
5,22,Orioles,1
5,22,Rangers,1
5,22,Yankees,1
5,23,Mets,1
5,24,Angels,1
5,24,Athletics,1
5,24,Brewers,1
5,24,Cubs,1
5,24,Indians,1
5,24,Rays,1
5,24,Royals,1
5,25,Blue Jays,1
5,25,Brewers,1
5,25,Cubs,1
5,25,Indians,2
5,25,Marlins,1
5,25,Mets,1
5,25,Phillies,1
5,25,Royals,1
5,26,Blue Jays,1
5,26,Brewers,1
5,26,Marlins,1
5,26,Rockies,1
5,27,Cardinals,1
5,27,Orioles,1
5,27,Yankees,1
5,28,Cardinals,1
5,28,Dodgers,1
5,28,Giants,1
5,28,Padres,1
5,28,Pirates,1
5,28,Reds,1
5,28,Tigers,1
5,28,Twins,1
5,29,Astros,2
5,29,Giants,1
5,29,Marlins,1
5,29,Orioles,1
5,29,Red Sox,1
5,29,Twins,2
5,29,Yankees,1
5,30,Astros,1
5,30,Cardinals,1
5,30,Dodgers,1
5,30,Nationals,1
5,30,Pirates,1
5,30,Rangers,1
5,30,Red Sox,1
5,30,Reds,1
5,31,Astros,1
5,31,Giants,1
5,31,Nationals,1
5,31,Rangers,1
5,31,Red Sox,1
5,31,White Sox,1
6,1,Cardinals,1
6,1,Dodgers,1
6,1,Nationals,1
6,1,Tigers,1
6,1,White Sox,1
6,2,Brewers,1
6,2,Diamondbacks,1
6,2,Giants,1
6,2,Reds,1
6,2,Yankees,1
6,3,Angels,1
6,3,Blue Jays,1
6,3,Mariners,1
6,3,Mets,1
6,3,Reds,1
6,4,Brewers,1
6,4,Giants,1
6,4,Mets,1
6,4,Rays,2
6,4,Yankees,1
6,5,Angels,1
6,5,Blue Jays,1
6,5,Diamondbacks,1
6,5,Nationals,1
6,5,Rays,1
6,6,Cubs,1
6,6,Rockies,1
6,7,Indians,1
6,7,Rays,1
6,7,Rockies,1
6,8,Blue Jays,1
6,8,Braves,1
6,8,Cardinals,1
6,8,Cubs,1
6,8,Mets,1
6,8,Nationals,1
6,8,Rays,1
