Month,Day,Team,Home_Loss
4,3,Rays,1
4,4,Braves,1
4,4,Brewers,1
4,4,Padres,1
4,4,Rays,1
4,5,Angels,1
4,5,Athletics,1
4,5,Diamondbacks,1
4,5,Indians,1
4,5,Marlins,1
4,5,Royals,1
4,5,Yankees,1
4,6,Angels,1
4,6,Athletics,1
4,6,Braves,1
4,6,Brewers,1
4,6,Diamondbacks,1
4,6,Marlins,1
4,6,Padres,1
4,6,Rangers,2
4,7,Athletics,1
4,7,Nationals,1
4,7,Padres,1
4,8,Blue Jays,1
4,8,Braves,1
4,8,Diamondbacks,1
4,8,Reds,1
4,8,Rockies,1
4,8,White Sox,1
4,9,Angels,1
4,9,Blue Jays,1
4,9,Braves,1
4,9,Brewers,1
4,9,Giants,1
4,9,Mariners,1
4,9,Mets,1
4,9,Tigers,1
4,10,Angels,1
4,10,Braves,1
4,10,Diamondbacks,2
4,10,Mariners,2
4,10,Mets,1
4,10,Rockies,1
4,11,Mets,1
4,11,Phillies,1
4,11,Red Sox,1
4,11,Tigers,1
4,11,Twins,1
4,12,Athletics,1
4,12,Blue Jays,1
4,12,Dodgers,1
4,12,Mariners,1
4,12,Mets,1
4,12,Red Sox,1
4,13,Astros,1
4,13,Athletics,2
4,13,Mariners,1
4,13,Pirates,1
4,13,Rays,1
4,13,Rockies,1
4,14,Astros,1
4,14,Cardinals,1
4,14,Pirates,1
4,14,Rays,1
4,14,Twins,2
4,15,Astros,1
4,15,Cubs,1
4,15,Indians,1
4,15,Marlins,1
4,15,Phillies,1
4,15,Pirates,1
4,15,Rays,1
4,15,Yankees,1
4,16,Astros,1
4,16,Athletics,1
4,16,Cardinals,1
4,16,Marlins,1
4,16,Padres,1
4,16,Phillies,1
4,16,Rangers,1
4,16,Yankees,1
4,17,Cubs,1
4,17,Dodgers,1
4,17,Indians,1
4,17,Marlins,1
4,17,Red Sox,1
4,18,Phillies,1
4,18,Red Sox,1
4,18,Reds,1
4,19,Cardinals,1
4,19,Giants,1
4,19,Marlins,1
4,19,Orioles,1
4,19,Phillies,1
4,19,Red Sox,1
4,19,Twins,1
4,19,White Sox,1
4,19,Yankees,1
4,20,Braves,1
4,20,Cardinals,1
4,20,Giants,1
4,20,Indians,1
4,20,Marlins,1
4,20,Royals,1
4,20,Yankees,1
4,21,Braves,1
4,21,Brewers,1
4,21,Giants,2
4,21,Indians,1
4,21,Red Sox,1
4,21,Reds,1
4,21,White Sox,1
4,21,Yankees,1
4,22,Blue Jays,1
4,22,Braves,1
4,22,Padres,1
4,22,Reds,1
4,22,Tigers,1
4,23,Angels,1
4,23,Astros,1
4,23,Braves,1
4,23,Brewers,2
4,23,Diamondbacks,1
4,23,Royals,1
4,23,Tigers,1
4,24,Angels,1
4,24,Braves,1
4,24,Diamondbacks,1
4,24,Giants,1
4,24,Padres,2
4,24,Reds,1
4,24,Rockies,2
4,24,Tigers,1
4,24,Yankees,1
4,25,Astros,1
4,25,Blue Jays,1
4,25,Braves,1
4,26,Blue Jays,1
4,26,Braves,1
4,26,Dodgers,1
4,26,Nationals,1
4,26,Rangers,1
4,26,Rockies,1
4,26,Tigers,1
4,27,Blue Jays,1
4,27,Diamondbacks,1
4,27,Dodgers,1
4,27,Nationals,1
4,27,Rays,1
4,27,Rockies,1
4,28,Diamondbacks,1
4,28,Dodgers,1
4,28,Mariners,1
4,28,Nationals,1
4,28,Red Sox,1
4,28,Rockies,1
4,28,Twins,1
4,29,Dodgers,1
4,29,Rays,1
4,30,Brewers,2
4,30,Cardinals,2
4,30,Diamondbacks,1
4,30,Dodgers,1
4,30,Orioles,1
4,30,Twins,2
5,1,Athletics,1
5,1,Cardinals,1
5,1,Cubs,1
5,1,Diamondbacks,2
5,1,Dodgers,1
5,1,Mariners,1
5,1,Mets,1
5,1,Orioles,1
5,1,Pirates,1
5,1,Rangers,1
5,1,Rays,1
5,1,Twins,1
5,2,Blue Jays,1
5,2,Pirates,1
5,2,Reds,1
5,3,Astros,1
5,3,Athletics,1
5,3,Mets,1
5,3,Pirates,1
5,3,Rays,1
5,3,Reds,1
5,3,Royals,1
5,4,Athletics,2
5,4,Brewers,1
5,4,Cardinals,1
5,4,Orioles,1
5,4,Padres,1
5,4,Pirates,1
5,4,Royals,1
5,5,White Sox,1
5,6,Astros,1
5,6,Braves,1
5,6,Giants,1
5,6,Tigers,1
5,6,White Sox,1
5,7,Angels,1
5,7,Astros,1
5,7,Blue Jays,1
5,7,Braves,1
5,7,Cardinals,1
5,7,Indians,1
5,7,Marlins,1
5,7,Orioles,1
5,7,Reds,1
5,7,Tigers,1
5,8,Angels,2
5,8,Blue Jays,1
5,8,Braves,1
5,8,Cardinals,1
5,8,Giants,1
5,8,Marlins,1
5,8,Padres,2
5,8,Reds,1
5,8,Tigers,1
5,9,Yankees,1
5,10,Braves,1
5,10,Dodgers,1
5,10,Giants,1
5,10,Marlins,1
5,10,Nationals,1
5,10,Rangers,1
5,10,Rockies,1
5,11,Angels,1
5,11,Astros,1
5,11,Cubs,1
5,11,Giants,1
5,11,Reds,1
5,11,Rockies,1
5,11,Twins,2
5,11,Yankees,1
5,12,Angels,1
5,12,Braves,1
5,12,Cubs,1
5,12,Dodgers,1
5,13,Angels,1
5,13,Brewers,1
5,13,Diamondbacks,1
5,13,Rays,1
5,13,Red Sox,1
5,13,Yankees,1
5,14,Brewers,1
5,14,Diamondbacks,1
5,14,Indians,1
5,14,Mariners,1
5,14,Nationals,1
5,14,Rangers,1
5,14,Royals,1
5,15,Cubs,1
5,15,Diamondbacks,2
5,15,Indians,1
5,15,Mariners,2
5,15,Nationals,1
5,15,Orioles,1
5,15,Phillies,1
5,15,Rays,1
5,16,Blue Jays,1
5,16,Dodgers,1
5,16,Phillies,1
5,17,Blue Jays,1
5,17,Dodgers,1
5,17,Orioles,1
5,18,Blue Jays,1
5,18,Cardinals,1
5,18,Mets,1
5,18,Padres,1
5,18,Pirates,1
5,18,Reds,1
5,18,White Sox,1
5,19,Brewers,1
5,19,Diamondbacks,1
5,19,Mets,1
5,19,Orioles,1
5,19,Padres,1
5,19,Reds,1
5,19,Royals,1
5,19,White Sox,1
5,20,Athletics,1
5,20,Marlins,1
5,20,Padres,1
5,20,Phillies,1
5,20,Red Sox,1
5,20,Reds,1
5,20,Tigers,1
5,20,Twins,1
5,21,Angels,1
5,21,Astros,2
5,21,Athletics,2
5,21,Cardinals,1
5,21,Giants,1
5,21,Phillies,1
5,21,Pirates,1
5,21,Reds,1
5,21,Twins,1
5,21,White Sox,2
5,22,Angels,1
5,22,Astros,1
5,22,Athletics,1
5,22,Cardinals,1
5,22,Marlins,1
5,22,Padres,1
5,22,Reds,1
5,22,Twins,1
5,23,Nationals,1
5,24,Braves,1
5,24,Cardinals,1
5,24,Mariners,1
5,24,Marlins,1
5,24,Rangers,1
5,24,Twins,1
5,24,White Sox,1
5,25,Braves,1
5,25,Cardinals,1
5,25,Nationals,1
5,25,Rays,1
5,25,Tigers,1
5,25,Twins,1
5,25,White Sox,2
5,25,Yankees,1
5,26,Braves,1
5,26,Rays,1
5,26,Red Sox,1
5,26,Yankees,1
5,27,Indians,1
5,27,Nationals,1
5,27,Rays,1
5,28,Athletics,1
5,28,Brewers,1
5,28,Diamondbacks,1
5,28,Mariners,1
5,28,Mets,1
5,28,Nationals,1
5,28,Rangers,1
5,28,Rockies,1
5,29,Angels,2
5,29,Blue Jays,1
5,29,Braves,1
5,29,Indians,1
5,29,Mariners,2
5,29,Rays,1
5,29,Rockies,1
5,30,Brewers,1
5,30,Diamondbacks,1
5,30,Indians,1
5,30,Marlins,1
5,30,Mets,1
5,30,Orioles,1
5,30,Phillies,1
5,30,Rockies,1
5,31,Braves,1
5,31,Diamondbacks,1
5,31,Indians,1
5,31,Mets,1
5,31,Orioles,1
5,31,Phillies,1
6,1,Angels,1
6,1,Brewers,1
6,1,Cubs,1
6,1,Mets,1
6,1,Phillies,1
6,2,Astros,1
6,2,Braves,1
6,2,Phillies,1
6,2,Rockies,1
6,2,Tigers,1
6,3,Marlins,1
6,3,Padres,1
6,3,Pirates,1
6,3,Red Sox,1
6,3,Rockies,1
6,4,Cardinals,1
6,4,Marlins,1
6,4,Orioles,1
6,4,Phillies,1
6,4,Twins,2
6,5,Cubs,1
6,5,Pirates,1
6,5,Red Sox,1
6,5,Reds,1
6,5,Twins,1
6,6,Padres,1
6,6,Phillies,1
6,7,Diamondbacks,1
6,7,Dodgers,1
6,7,Mariners,1
6,8,Diamondbacks,1
6,8,Giants,1
6,8,Padres,1
6,8,Phillies,1
6,8,Pirates,1
6,8,Reds,1
6,8,Tigers,1
6,8,White Sox,1
6,9,Blue Jays,1
6,9,Dodgers,1
6,9,Rangers,1
6,9,Reds,1
6,9,White Sox,1
6,10,Brewers,1
6,10,Mariners,1
6,10,Pirates,1
6,10,Twins,1
6,11,Angels,1
6,11,Braves,1
6,11,Brewers,1
6,11,Diamondbacks,1
6,11,Giants,1
6,11,Pirates,1
6,11,Rays,1
6,11,Rockies,1
6,11,Twins,2
6,11,White Sox,1
6,11,Yankees,1
6,12,Angels,1
6,12,Braves,1
6,12,Mariners,2
6,12,Pirates,1
6,12,Reds,1
6,12,White Sox,1
6,12,Yankees,1
6,13,Blue Jays,1
6,13,Braves,1
6,14,Angels,1
6,14,Braves,1
6,14,Mets,1
6,14,Nationals,1
6,14,Padres,1
6,14,Red Sox,1
6,15,Athletics,1
6,15,Cardinals,2
6,15,Diamondbacks,2
6,15,Padres,1
6,15,Phillies,1
6,15,White Sox,1
6,16,Athletics,2
6,16,Phillies,1
6,16,Rays,1
6,16,Red Sox,1
6,17,Dodgers,1
6,17,Mets,1
6,17,Orioles,1
6,17,Padres,1
6,17,Phillies,1
6,17,Rays,1
6,17,Red Sox,1
6,17,Royals,1
6,17,Twins,1
6,18,Astros,1
6,18,Athletics,1
6,18,Cardinals,2
6,18,Padres,1
6,18,Phillies,1
6,18,Rays,1
6,18,Twins,2
6,19,Athletics,1
6,19,Cardinals,1
6,19,Mets,2
6,19,Phillies,1
6,19,Rays,1
6,20,Marlins,1
6,20,Phillies,1
6,20,Red Sox,1
6,21,Blue Jays,1
6,21,Cubs,1
6,21,Marlins,1
6,21,Orioles,1
6,21,Pirates,1
6,21,Red Sox,1
6,21,Yankees,1
6,22,Athletics,1
6,22,Cubs,2
6,22,Pirates,1
6,22,Rangers,1
6,22,Red Sox,1
6,23,Pirates,1
6,23,Reds,1
6,23,Twins,1
6,24,Angels,1
6,24,Braves,1
6,24,Marlins,1
6,24,Reds,1
6,24,Rockies,1
6,24,Tigers,1
6,25,Angels,1
6,25,Braves,1
6,25,Rangers,1
6,25,Reds,1
6,25,Rockies,1
6,25,Royals,2
6,25,Tigers,1
6,25,White Sox,1
6,26,Angels,1
6,26,Brewers,1
6,26,Giants,1
6,26,Mariners,1
6,26,Tigers,1
6,26,Yankees,1
6,27,Braves,1
6,27,Pirates,1
6,27,Reds,1
6,27,Yankees,1
6,28,Angels,1
6,28,Braves,1
6,28,Diamondbacks,1
6,28,Giants,1
6,28,Rays,1
6,28,Reds,1
6,28,Yankees,1
6,29,Angels,2
6,29,Braves,1
6,29,Brewers,1
6,29,Diamondbacks,2
6,29,Giants,1
6,29,Padres,2
6,29,Reds,1
6,29,Rockies,2
6,29,Royals,1
6,29,White Sox,1
6,30,Blue Jays,1
6,30,Brewers,1
6,30,Cardinals,2
6,30,Mariners,1
6,30,Rays,1
7,1,Athletics,1
7,1,Blue Jays,1
7,1,Braves,1
7,1,Rays,1
7,2,Astros,1
7,2,Athletics,1
7,2,Diamondbacks,1
7,2,Nationals,1
7,2,Phillies,1
7,2,Rays,1
7,2,Red Sox,1
7,2,Twins,1
7,3,Astros,1
7,3,Athletics,2
7,3,Diamondbacks,1
7,3,Padres,1
7,3,Rays,1
7,4,Braves,1
7,4,Cardinals,1
7,4,Nationals,1
7,4,Twins,1
7,5,Cubs,1
7,5,Diamondbacks,1
7,5,Mets,1
7,5,Nationals,1
7,5,Rays,1
7,5,Red Sox,1
7,6,Cardinals,1
