Month,Day,Team,Home_Win
4,3,Pirates,1
4,4,Orioles,1
4,4,Rangers,1
4,4,Reds,1
4,4,Royals,1
4,5,Pirates,1
4,5,Rays,1
4,6,Brewers,1
4,6,Diamondbacks,1
4,6,Indians,1
4,6,Orioles,1
4,6,Pirates,1
4,6,Rays,1
4,6,Reds,1
4,6,Yankees,1
4,7,Athletics,1
4,7,Giants,1
4,7,Orioles,1
4,7,Reds,1
4,7,Yankees,1
4,8,Angels,1
4,8,Mets,1
4,8,Orioles,1
4,8,Tigers,1
4,9,Brewers,1
4,9,Diamondbacks,1
4,9,Giants,1
4,9,Reds,1
4,9,Royals,2
4,9,White Sox,1
4,10,Angels,1
4,10,Blue Jays,1
4,10,Brewers,1
4,10,Giants,1
4,10,Nationals,1
4,10,Orioles,1
4,10,Reds,1
4,10,Rockies,1
4,10,Royals,1
4,11,Cardinals,1
4,11,Nationals,1
4,12,Astros,1
4,12,Cubs,1
4,12,Nationals,1
4,12,Phillies,1
4,12,Rays,1
4,12,Tigers,1
4,13,Blue Jays,1
4,13,Mariners,1
4,13,Mets,1
4,13,Nationals,1
4,13,Phillies,1
4,13,Red Sox,1
4,14,Blue Jays,1
4,14,Cardinals,1
4,14,Cubs,1
4,14,Dodgers,1
4,14,Nationals,1
4,14,Phillies,1
4,14,Rockies,2
4,15,Cubs,1
4,15,Dodgers,1
4,15,Rangers,1
4,15,Red Sox,1
4,16,Astros,1
4,16,Athletics,1
4,16,Cardinals,1
4,16,Cubs,1
4,16,Dodgers,1
4,16,Indians,1
4,16,Pirates,1
4,16,Rays,1
4,16,Red Sox,1
4,16,Twins,2
4,17,Astros,1
4,17,Athletics,1
4,17,Cardinals,1
4,17,Padres,1
4,17,Phillies,1
4,17,Pirates,1
4,17,Rangers,1
4,17,Rays,1
4,17,Twins,1
4,17,Yankees,1
4,18,Dodgers,1
4,18,Marlins,1
4,19,Braves,1
4,19,Indians,1
4,19,Reds,1
4,19,Royals,1
4,19,Twins,1
4,20,Cardinals,1
4,20,Orioles,1
4,20,Padres,1
4,20,Phillies,1
4,20,Rangers,1
4,20,Red Sox,1
4,20,Reds,1
4,20,White Sox,2
4,21,Brewers,1
4,21,Marlins,1
4,21,Orioles,1
4,21,Padres,1
4,21,Rangers,1
4,21,Royals,1
4,22,Nationals,1
4,22,Rangers,1
4,22,Yankees,1
4,23,Astros,1
4,23,Blue Jays,1
4,23,Giants,1
4,23,Nationals,1
4,23,Padres,1
4,23,Reds,1
4,23,Rockies,1
4,23,Royals,1
4,23,White Sox,2
4,23,Yankees,1
4,24,Angels,1
4,24,Blue Jays,1
4,24,Brewers,1
4,24,Diamondbacks,1
4,24,Giants,1
4,24,Nationals,1
4,24,Royals,1
4,24,White Sox,1
4,25,Mets,1
4,25,Rays,1
4,25,Tigers,1
4,26,Angels,1
4,26,Diamondbacks,1
4,26,Giants,1
4,26,Mariners,1
4,26,Mets,1
4,26,Rays,1
4,26,Twins,1
4,27,Angels,1
4,27,Cubs,1
4,27,Giants,2
4,27,Mariners,1
4,27,Mets,1
4,27,Rangers,1
4,27,Red Sox,1
4,27,Tigers,1
4,27,Twins,1
4,28,Angels,1
4,28,Cubs,1
4,28,Orioles,1
4,28,Rangers,1
4,28,Tigers,1
4,29,Cubs,1
4,29,Diamondbacks,1
4,29,Mets,1
4,29,Orioles,1
4,29,Phillies,1
4,29,Pirates,1
4,29,Red Sox,1
