pitcherFirstName,pitcherLastName,fastest_pitch
Albertin,Chapman,105
Mauricio,Cabrera,103
Arquimedes,Caminero,102
Edwin,Diaz,102
Nathan,Eovaldi,102
Trevor,Rosenthal,101
Carlos,Martinez,101
Kenneth,Giles,101
Felipe,Rivero,101
Alex,Reyes,101
Matthew,Bush,101
Yordano,Ventura,101
Dellin,Betances,101
Brian,Ellington,101
Bruce,Rondon,101
James,Paxton,101
Noah,Syndergaard,101
Joseph,Kelly,101
Hunter,Strickland,100
Craig,Kimbrel,100
Jacob,Diekman,100
Pedro,Baez,100
Michael,Foltynewicz,100
Kelvin,Herrera,100
Jose,Dominguez,100
Neftali,Feliz,100
Carlos,Rodon,100
Thomas,Kahnle,100
Jose,Fernandez,100
Carlos,Estevez,100
Patrick,Schultz,100
Juan,Ramirez,100
Daniel,Altavilla,100
Arodys,Vizcaino,100
Michael,Montgomery,100
Enny,Romero,99
Roberto,Osuna,99
Matthew,Barnes,99
Keone,Kela,99
Dustin,McGowan,99
Hector,Rondon,99
Wade,Davis,99
Blake,Wood,99
Jose,Diaz,99
Blake,Treinen,99
Samuel,Dyson,99
Jose,Ramirez,99
Michael,Lorenzen,99
Andrew,Miller,99
Daniel,Duffy,99
Jose,Urena,99
Luis,Garcia,99
Hansel,Robles,99
Thomas,Pressly,99
Justin,Wilson,99
Jon,Chargois,99
Reynaldo,Lopez,99
Gerrit,Cole,99
Jose,Valdez,99
John,Axford,99
Kevin,Gausman,99
Zachary,Britton,99
Garrett,Richards,99
Brandon,Maurer,99
Jeurys,Familia,99
Miguel,Castro,99
Enrique,Burgos,99
Jeremy,Jeffress,99
Nathan,Jones,99
Koda,Glover,99
Jorge,Rondon,99
Wily,Peralta,99
Chad,Green,99
Jandel,Gustave,99
Luis,Severino,99
Dennis,Tepera,98
Eduardo,Gamboa,98
Joseph,Biagini,98
Christopher,Archer,98
Joshua,Osich,98
Richard,Hembree,98
Luis,Perdomo,98
Brandon,Morrow,98
Corey,Knebel,98
Jacob,Barnes,98
Jeffrey,Samardzija,98
Kenley,Jansen,98
David,Hatcher,98
Jonathan,Gray,98
Michael,Wacha,98
Juan,Nicasio,98
Tyler,Glasnow,98
Pedro,Strop,98
Jonathan,Broxton,98
Anthony,Cingrani,98
David,Phelps,98
Fernando,Rodney,98
Ryan,Madson,98
Liam,Hendriks,98
Chad,Kuhl,98
Samuel,Tuivailala,98
Curtis,Ohlendorf,98
Raisel,Iglesias,98
Michael,Tonkin,98
Vincent,Velasquez,98
Nefi,Ogando,98
Kyle,Barraclough,98
Rubby,De La Rosa,98
Daniel,Hudson,98
Jake,Barrett,98
Andrew,Cashner,98
Joely,Rodriguez,98
Edubray,Ramos,98
Jacob,McGee,98
Matthew,Albers,98
Raymond,Hunter,98
Carlos,Carrasco,98
Joseph,Ross,98
Alex,Meyer,98
Cameron,Bedrosian,98
Sean,Doolittle,98
Thomas,Wilhelmsen,98
Taijuan,Walker,98
Dennis,Wright,98
Mychal,Givens,98
Daniel,Salazar,98
Yu,Darvish,98
Maxwell,Scherzer,98
Joshua,Ravin,98
Michael,Clevinger,98
Jacob,Turner,98
Robert,Ray,98
Zachary,Davies,98
Michael,Blazek,98
Austin,Adams,98
Christopher,Sale,98
Carl,Edwards,98
Jose,Leclerc,98
Justin,Verlander,98
Michael,Fulmer,98
Drew,VerHagen,98
Michael,Pineda,98
Michael,Feliz,98
Aaron,Sanchez,98
Dylan,Bundy,98
Stephen,Strasburg,98
Josh,Smoker,98
Jacob,Petricka,98
Luis,Cessa,98
Matthew,Harvey,98
Lance,McCullers,98
"James ",Pazos,98
Damien,Magnifico,98
Scott,Oberg,98
Shae,Simmons,98
Kevin,Jepsen,97
Blake,Snell,97
Alexander,Colome,97
Justin,Grimm,97
Frederick,Porcello,97
Edwin,Jackson,97
Arthur,Griffin,97
Colbert,Hamels,97
Derek,Law,97
Jhan,Marinez,97
James,Nelson,97
Casey,Fien,97
Alejandro,Ramos,97
James,Johnson,97
Jacob,Arrieta,97
Edinson,Volquez,97
Joakim,Soria,97
Dillon,Gee,97
Luke,Hochevar,97
Colin,Rea,97
Douglas,Fister,97
David,Norris,97
Trevor,Williams,97
Michael,Mayers,97
Wandy,Peralta,97
Juan,Minaya,97
Ian,Kennedy,97
Cody,Allen,97
Bryan,Shaw,97
Hector,Neris,97
Jacob,Lugo,97
Austin,Brice,97
Michael,Ynoa,97
Joshua,Fields,97
James,Henderson,97
Ervin,Santana,97
Christopher,Beck,97
Shane,Greene,97
Patrick,Light,97
Zachary,McAllister,97
Samuel,Solis,97
Kendall,Graveman,97
Ariel,Miranda,97
Brad,Brach,97
Tanner,Scheppers,97
Tyler,Skaggs,97
Michael,Fiers,97
Christopher,Devenski,97
Chin-Hui,Tsao,97
Cody,Anderson,97
Nathan,Karns,97
Trevor,Bauer,97
Anthony,Zych,97
Charles,Morton,97
Archie,Bradley,97
Jameson,Taillon,97
Adam,Ottavino,97
Ivan,Nova,97
Matthew,Strahm,97
Jesse,Hahn,97
Tyler,Thornburg,97
Colton,Murray,97
Robert,Scahill,97
Samuel,Freeman,97
Junior,Guerra,97
Daniel,Norris,97
George,Farmer,97
Trevor,May,97
Jose,Berrios,97
Eduardo,Rodriguez,97
Percival,Garner,97
Joseph,Colon,97
Jacob,deGrom,97
Shelby,Miller,97
German,Marquez,97
Christopher,Bassitt,97
Oliver,Drake,97
Jason,Motte,97
Timothy,Butler,97
Bryan,Mitchell,97
Ben,Heller,97
James,Hoover,97
Matthew,Carasiti,97
Jeffrey,Hoffman,97
Francisco,Liriano,96
Bradley,Boxberger,96
Scott,Feldman,96
Joaquin,Benoit,96
Santiago,Casilla,96
David,Price,96
Robert,Ross Jr.,96
Albert,Suarez,96
Blaine,Boyer,96
William,Smith,96
Julio,Urias,96
Scott,Kazmir,96
Clayton,Kershaw,96
Michael,Dunn,96
Ian,Krol,96
John,Younginer IV,96
Kevin,Siegrist,96
Anthony,Watson,96
Seung-Hwan,Oh,96
William,Hughes,96
Jason,Hammel,96
Adam,Conley,96
Robert,Stephenson,96
Keyvius,Sampson,96
Luke,Weaver,96
Anthony,DeSclafani,96
Martin,Perez,96
Brian,Flynn,96
Brandon,Kintzler,96
Colby,Cervenka,96
Andrew,Chafin,96
David,Hernandez,96
Michael,Mariot,96
Frank,Herrmann,96
Jesse,Chavez,96
Severino,Gonzalez,96
Scott,Verrett,96
Taylor,Rogers,96
Fernando,Rodriguez,96
Hector,Santiago,96
Luis,Guerra,96
Justin,Chamberlain,96
Christopher,Withrow,96
Bradley,Hand,96
Giovany,Gonzalez,96
Patrick,Corbin,96
Zachary,Eflin,96
Matthew,Moore,96
Scott,Alexander,96
Alexi,Ogando,96
Kevin,McCarthy,96
Corey,Kluber,96
Jonathan,Papelbon,96
Justin,Miller,96
Evan,Marshall,96
Brandon,Finnegan,96
Mark,Lowe,96
Paul,Clemens,96
John,Lackey,96
Curtis,Partch,96
Luke,Jackson,96
Cody,Reed,96
Michael,Pelfrey,96
Anibal,Sanchez,96
Dustin,Molleken,96
Robert,Parnell,96
Sonny,Gray,96
Jeffrey,Wendelken,96
"Ashur ",Tolliver,96
Christopher,Tillman,96
Masahiro,Tanaka,96
Anthony,Swarzak,96
Alfredo,Simon,96
Steven,Delabar,96
Brock,Stewart,96
Dominic,Leone,96
Chad,Bettis,96
Tyson,Blach,96
Ryan,Buchter,96
Steven,Matz,96
Lucas,Giolito,96
Carsten,Sabathia,96
Sean,Manaea,96
Matthew,Wisler,96
Tyler,Chatwood,96
Gonzalez,Germen,96
Raul,Alcantara,96
Joseph,Musgrove,96
Odrisamer,Despaigne,96
David,Bailey,96
Gavin,Floyd,96
Daniel,Mengden,96
Mathew,Latos,96
Robert,Gsellman,96
Michael,Broadway,96
Yimi,Garcia,96
Williams,Perez,96
John,Barbato,96
Christopher,Gimenez,96
Trevor,Gott,96
Christian,Bethancourt,96
Nicholas,Tepesch,96
Logan,Ondrusek,96
Jordan,Lyles,96
Jose,Torres,96
Jason,Hursh,96
Cody,Hall,96
Johnathan,Graham,96
Tayron,Guerrero,96
Branden,Pinder,96
Marcus,Stroman,95
Daniel,Farquhar,95
Daniel,Barnes,95
Erasmo,Ramirez,95
James,Happ,95
Jason,Grilli,95
Jonathan,Lester,95
Clayton,Richard,95
Trevor,Cahill,95
Jacob,Odorizzi,95
Thomas,Pomeranz,95
Matthew,Andriese,95
Leonel,Campos,95
Anthony,Barnette,95
Robert,Anderson,95
Johnny,Cueto,95
Carlos,Torres,95
Matthew,Garza,95
Jacob,Peavy,95
Adam,Liberatore,95
Shawn,Kelley,95
Thomas,Koehler,95
Adam,Wainwright,95
Nicholas,Wittgren,95
Steven,Brault,95
Adam,Warren,95
Chien-Ming,Wang,95
Matthew,Bowman,95
Shawn,Tolleson,95
William,Harris,95
Grant,Dayton,95
Brandon,McCarthy,95
Wei-Yin,Chen,95
"Timothy ",Adleman,95
Anthony,Ranaudo,95
Brooks,Pounders,95
Chaz,Roe,95
Jerad,Eickhoff,95
Andrew,Bailey,95
Avery,Morris,95
Jeanmar,Gomez,95
Tyler,Anderson,95
Rafael,Montero,95
Dalier,Hinojosa,95
Elvis,Araujo,95
Jose,Quintana,95
Matthew,Boyd,95
Shawn,Morimando,95
Andrew,Hutchison,95
Dylan,Floro,95
Tanner,Roark,95
Kendry,Flores,95
Silvino,Bracho,95
Andrew,Schugel,95
Michael,Morin,95
Aaron,Loup,95
Jose,Alvarez,95
Carlos,Nolasco,95
Jhoulys,Chacin,95
Matthew,Shoemaker,95
Neil,Ramirez,95
Nicholas,Tropeano,95
Dario,Alvarez,95
Derek,Holland,95
Phil,Klein,95
Ross,Detwiler,95
Julio,Teheran,95
Matthew,Belisle,95
Addison,Reed,95
Cory,Luebke,95
Boone,Logan,95
Daniel,Coulombe,95
Carson,Fulmer,95
Randall,Delgado,95
Donald,Greinke,95
Steven,Hathaway,95
Clay,Buchholz,95
Dayan,Diaz,95
David,Robertson,95
Edwin,Escobar,95
Spencer,Patton,95
Jeffrey,Locke,95
Caleb,Cotham,95
Brandon,Cunniff,95
Tyler,Cravy,95
William,Wilson,95
Jordan,Zimmermann,95
Fernando,Abad,95
Miguel,Gonzalez,95
Ubaldo,Jimenez,95
Shawn,Armstrong,95
David,Paulino,95
James,Hoyt,95
Robert,Wood,95
Carlos,Frias,95
Jose,De Leon,95
Erik,Goeddel,95
Jarred,Cosart,95
Gabriel,Ynoa,95
Wade,Miley,95
Kirby,Yates,95
John,Gant,95
Braden,Shipley,95
Jharel,Cotton,95
Junichi,Tazawa,95
Lucas,Harrell,95
Tyrell,Jenkins,95
Joel,De La Cruz,95
Mayckol,Guaipe,95
Daniel,Stumpf,95
Felix,Pena,95
David,Goforth,95
Timothy,McFarland,95
Roenis,Elias,95
Phillip,Coke,95
