Date,Team,Total_Wins,Total_Losses,Home_Wins,Home_Losses,Away_Wins,Away_Losses
2016-04-02,Angels,0,0,0,0,0,0
2016-04-02,Astros,0,0,0,0,0,0
2016-04-02,Athletics,0,0,0,0,0,0
2016-04-02,Blue Jays,0,0,0,0,0,0
2016-04-02,Braves,0,0,0,0,0,0
2016-04-02,Brewers,0,0,0,0,0,0
2016-04-02,Cardinals,0,0,0,0,0,0
2016-04-02,Cubs,0,0,0,0,0,0
2016-04-02,Diamondbacks,0,0,0,0,0,0
2016-04-02,Dodgers,0,0,0,0,0,0
2016-04-02,Giants,0,0,0,0,0,0
2016-04-02,Indians,0,0,0,0,0,0
2016-04-02,Mariners,0,0,0,0,0,0
2016-04-02,Marlins,0,0,0,0,0,0
2016-04-02,Mets,0,0,0,0,0,0
2016-04-02,Nationals,0,0,0,0,0,0
2016-04-02,Orioles,0,0,0,0,0,0
2016-04-02,Padres,0,0,0,0,0,0
2016-04-02,Phillies,0,0,0,0,0,0
2016-04-02,Pirates,0,0,0,0,0,0
2016-04-02,Rangers,0,0,0,0,0,0
2016-04-02,Rays,0,0,0,0,0,0
2016-04-02,Red Sox,0,0,0,0,0,0
2016-04-02,Reds,0,0,0,0,0,0
2016-04-02,Rockies,0,0,0,0,0,0
2016-04-02,Royals,0,0,0,0,0,0
2016-04-02,Tigers,0,0,0,0,0,0
2016-04-02,Twins,0,0,0,0,0,0
2016-04-02,White Sox,0,0,0,0,0,0
2016-04-02,Yankees,0,0,0,0,0,0
2016-04-03,Angels,0,0,0,0,0,0
2016-04-03,Astros,0,0,0,0,0,0
2016-04-03,Athletics,0,0,0,0,0,0
2016-04-03,Blue Jays,1,0,0,0,1,0
2016-04-03,Braves,0,0,0,0,0,0
2016-04-03,Brewers,0,0,0,0,0,0
2016-04-03,Cardinals,0,1,0,0,0,1
2016-04-03,Cubs,0,0,0,0,0,0
2016-04-03,Diamondbacks,0,0,0,0,0,0
2016-04-03,Dodgers,0,0,0,0,0,0
2016-04-03,Giants,0,0,0,0,0,0
2016-04-03,Indians,0,0,0,0,0,0
2016-04-03,Mariners,0,0,0,0,0,0
2016-04-03,Marlins,0,0,0,0,0,0
2016-04-03,Mets,0,1,0,0,0,1
2016-04-03,Nationals,0,0,0,0,0,0
2016-04-03,Orioles,0,0,0,0,0,0
2016-04-03,Padres,0,0,0,0,0,0
2016-04-03,Phillies,0,0,0,0,0,0
2016-04-03,Pirates,1,0,1,0,0,0
2016-04-03,Rangers,0,0,0,0,0,0
2016-04-03,Rays,0,1,0,1,0,0
2016-04-03,Red Sox,0,0,0,0,0,0
2016-04-03,Reds,0,0,0,0,0,0
2016-04-03,Rockies,0,0,0,0,0,0
2016-04-03,Royals,1,0,1,0,0,0
2016-04-03,Tigers,0,0,0,0,0,0
2016-04-03,Twins,0,0,0,0,0,0
2016-04-03,White Sox,0,0,0,0,0,0
2016-04-03,Yankees,0,0,0,0,0,0
2016-04-04,Angels,0,1,0,1,0,0
2016-04-04,Astros,0,0,0,0,0,0
2016-04-04,Athletics,0,1,0,1,0,0
2016-04-04,Blue Jays,2,0,0,0,2,0
