Date,Home_Team,Home_Runs,Home_Hits,Home_Errors,Away_Team,Away_Runs,Away_Hits,Away_Errors
2016-04-03,Pirates,4,9,1,Cardinals,1,5,0
2016-04-03,Rays,3,7,1,Blue Jays,5,7,2
2016-04-03,Royals,4,9,0,Mets,3,7,1
2016-04-04,Brewers,3,8,1,Giants,12,15,0
2016-04-04,Orioles,3,10,0,Twins,2,7,0
2016-04-04,Rangers,3,1,1,Mariners,2,4,2
2016-04-04,Reds,6,6,0,Phillies,2,6,2
2016-04-04,Braves,3,4,2,Nationals,4,8,0
2016-04-04,Padres,0,4,2,Dodgers,15,17,0
2016-04-04,Rays,3,8,0,Blue Jays,5,7,1
2016-04-04,Diamondbacks,5,12,0,Rockies,10,15,0
2016-04-04,Angels,0,3,1,Cubs,9,11,0
2016-04-04,Athletics,3,7,2,White Sox,4,7,1
2016-04-05,Yankees,3,4,1,Astros,5,6,0
2016-04-05,Indians,2,5,1,Red Sox,6,11,0
2016-04-05,Royals,0,3,0,Mets,2,6,0
2016-04-05,Pirates,6,12,2,Cardinals,5,8,1
2016-04-05,Marlins,7,10,2,Tigers,8,12,1
2016-04-05,Rays,3,7,1,Blue Jays,2,9,0
2016-04-05,Rangers,2,7,1,Mariners,10,11,1
2016-04-05,Brewers,1,6,0,Giants,2,7,0
2016-04-05,Diamondbacks,11,15,0,Rockies,6,9,0
2016-04-05,Angels,1,4,0,Cubs,6,9,1
2016-04-05,Athletics,4,10,0,White Sox,5,11,0
2016-04-05,Padres,0,2,1,Dodgers,3,6,0
2016-04-06,Rays,5,10,0,Blue Jays,3,6,0
2016-04-06,Brewers,4,9,2,Giants,3,6,0
2016-04-06,Rangers,5,7,0,Mariners,9,14,0
2016-04-06,Diamondbacks,3,8,0,Rockies,4,8,1
2016-04-06,Marlins,3,10,1,Tigers,7,13,0
2016-04-06,Indians,7,9,0,Red Sox,6,10,1
2016-04-06,Yankees,16,17,0,Astros,6,12,1
2016-04-06,Orioles,4,9,0,Twins,2,5,0
2016-04-06,Pirates,5,9,0,Cardinals,1,4,3
2016-04-06,Reds,3,8,0,Phillies,2,5,0
2016-04-06,Braves,1,8,1,Nationals,3,8,0
2016-04-06,Padres,0,5,0,Dodgers,7,11,1
2016-04-06,Athletics,2,7,0,White Sox,1,6,0
2016-04-07,Reds,10,12,1,Phillies,6,9,1
2016-04-07,Athletics,1,4,2,White Sox,6,10,1
2016-04-07,Yankees,8,12,0,Astros,5,9,1
2016-04-07,Nationals,4,6,1,Marlins,6,13,1
2016-04-07,Giants,12,17,0,Dodgers,6,13,1
2016-04-07,Orioles,4,8,1,Twins,2,9,0
2016-04-07,Diamondbacks,6,8,2,Cubs,14,14,0
2016-04-07,Angels,4,11,1,Rangers,3,4,0
2016-04-08,Tigers,4,13,0,Yankees,0,3,0
2016-04-08,Mets,7,9,1,Phillies,2,8,1
2016-04-08,White Sox,1,3,1,Indians,7,9,0
2016-04-08,Rockies,6,9,0,Padres,13,18,0
2016-04-08,Orioles,6,10,0,Rays,1,5,0
2016-04-08,Blue Jays,7,9,1,Red Sox,8,11,0
2016-04-08,Reds,5,6,3,Pirates,6,8,3
2016-04-08,Braves,4,5,0,Cardinals,7,11,2
2016-04-08,Brewers,6,7,0,Astros,4,9,0
2016-04-08,Royals,4,9,0,Twins,3,6,1
